decoded_french,labels,decoded_hyp_list
Cette photographie exprime une frustration intangible.,2,Cette photographie est heureuse
Un conducteur se trouve dans une voiture de course d'équipe Penske.,2,Il n'y a pas de conducteurs sur la piste.
"Une équipe de chirurgie militaire, une en camouflage, effectue une",2,Une équipe de chirurgie effectue une chirurgie cardiaque ouverte dans un auditor
Un groupe d'enfants marchent ensemble en une journée brillante.,1,Un groupe d'enfants marchent le long de la plage
"Deux boxers se battent, l'un frappe l'autre.",1,les boxers se battent dans le ring avec la foule en fl
Un brisedancer en rouge et en noir est il,2,Un oiseau fait un nid dans l'arbre.
La fille s'enfonce à l'écran avec un garçon,1,et il ne s'agit pas d'une vraie
Un homme portant une chemise blanche et des shorts rouges,2,Une femme portant une chemise blanche et des shorts rouges e
Six hommes roulent sur un trottoir en mouvement.,1,"Six hommes roulent sur un trottoir en mouvement, en parlant"
Un enfant regarde son ami par l'arbre.,0,Deux personnes sont à l'extérieur.
un petit garçon en courtes et en chaussures de tennis se prom,2,Deux jeunes filles marchent ensemble.
Un homme roule dans l'eau et d'autres,0,Quelque chose fonctionne.
une fille en robe jaune se tient sur la chaussée,1,La fille en jaune attend un autobus.
Le dîner en sablonnement avec un travailleur qui s,1,l’employé donne des échantillons gratuits aux clients
Un jeune homme dans un chandail bleu nettoyant des poissons t,0,Trois hommes regardent un homme nettoyer un poisson.
Un homme portant un veston assis et fumant une cigarette,2,Une femme portant un vêtement assis et fumant une cigarette.
Un homme à sac rouge emprunte son vélo sur une rue urbaine humide,1,Un homme est situé au centre-ville.
Une femme s'assiste dans une porte contenant du tissu et un,0,Une femme s'asseit dans une maison.
