decoded_french,labels,decoded_hyp_list
Un enfant dans un parc de baseball qui vient de frapper un baseball à l,0,Un enfant joue le teeball.
Un homme qui lise le document dans un café.,0,Un homme en jouant sur un morceau de papier.
Homme et femme marchent près de l'océan.,0,homme et femme marchent près de l'eau.
Une fille en uniforme rouge et blanc en têtant une,0,Deux filles jouent du softball.
Un homme vend ou achète des oranges sur un chariot dans un super,1,Un homme exerce des affaires à l'extérieur d'un magasin
Une fille en shorts noirs poussant un vélo dans la rue.,2,Une femme en courtes foncées prend un nappe à
Un homme exploite un appareil de décomposition de la terre près d',2,L'homme mange le déjeuner
Deux petits garçons noirs à l'arrière d'une bicyclet,0,Les enfants voyaient un vélo.
L'homme portant des vêtements foncés marche sur une rue avec un mur,0,Un homme passe par quelques graffitis.
Deux filles se bourrent l'un l'autre pendant qu,1,Deux filles dansaient en rouleau et se battaient
Un homme et une femme dans une foule de gens dans une rue la nuit,1,Un homme et une femme se joindront à la foule pour voir
Un jeu de soccer avec plusieurs mâles.,0,Certains hommes jouent un sport.
Deux enfants se boudent dans l'océan et se mour,1,Deux enfants apprécient leur journée à la plage.
Un homme ayant un costume noir et une femme en robe blanche,0,Un mâle et une femelle sont à côté l'un de
Un garçon se tient au bord d'une vague où le soleil s',2,Un garçon est l'école.
"Un conducteur de musique dirige son orchestre dans une grande salle, où un",0,Un conducteur dirige la musique devant un auditoire.
"Un homme en chemise grise, en dehors, tient quelque",2,L'homme s'asseit en bouillant du café.
"Un chanteur chantant sur scène avec une chemise noire coole,",1,Un homme chante sur scène une chanson rock classique avec l'audit
L'homme vêtu d'un vêtement d'affaires occasionn,1,L'homme vêtu d'un vêtement d'affaires occasionn
